Device: cuda
Dataset: cifar100 (100 classes)
Model: resnet18 (11,220,132 params)
Optimizer: LAKTJU

============================================================
Starting training: cifar100_resnet18_LAKTJU_seed123
============================================================

<sys>:0: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
Epoch   1/200 | Train Loss: 3.9775 | Valid Acc: 21.20% | Test Acc: 0.00% | LR: 0.010000 s=0.010 | Time: 177.4s
Epoch   5/200 | Train Loss: 2.6194 | Valid Acc: 48.46% | Test Acc: 0.00% | LR: 0.009990 s=0.050 | Time: 187.6s
Epoch  10/200 | Train Loss: 2.1346 | Valid Acc: 58.88% | Test Acc: 59.69% | LR: 0.009950 s=0.100 | Time: 189.7s
Epoch  15/200 | Train Loss: 1.8853 | Valid Acc: 62.16% | Test Acc: 59.69% | LR: 0.009880 s=0.149 | Time: 187.5s
Epoch  20/200 | Train Loss: 1.7047 | Valid Acc: 64.18% | Test Acc: 64.55% | LR: 0.009779 s=0.197 | Time: 189.5s
Epoch  25/200 | Train Loss: 1.5871 | Valid Acc: 65.10% | Test Acc: 64.55% | LR: 0.009649 s=0.245 | Time: 187.5s
Epoch  30/200 | Train Loss: 1.4951 | Valid Acc: 65.06% | Test Acc: 65.87% | LR: 0.009490 s=0.291 | Time: 189.7s
Epoch  35/200 | Train Loss: 1.4257 | Valid Acc: 65.26% | Test Acc: 65.87% | LR: 0.009304 s=0.336 | Time: 187.6s
Epoch  40/200 | Train Loss: 1.3769 | Valid Acc: 64.62% | Test Acc: 65.99% | LR: 0.009091 s=0.380 | Time: 189.4s
Epoch  45/200 | Train Loss: 1.3391 | Valid Acc: 65.72% | Test Acc: 65.99% | LR: 0.008853 s=0.422 | Time: 187.5s
Epoch  50/200 | Train Loss: 1.2949 | Valid Acc: 66.32% | Test Acc: 67.32% | LR: 0.008591 s=0.462 | Time: 189.3s
Results saved to ./results/v13_round2/cifar100_resnet18_LAKTJU_seed123_20260323_004752.json
Epoch  55/200 | Train Loss: 1.2500 | Valid Acc: 66.58% | Test Acc: 67.32% | LR: 0.008307 s=0.501 | Time: 187.2s
Epoch  60/200 | Train Loss: 1.2053 | Valid Acc: 67.42% | Test Acc: 67.71% | LR: 0.008002 s=0.537 | Time: 189.3s
Epoch  65/200 | Train Loss: 1.1703 | Valid Acc: 66.86% | Test Acc: 67.71% | LR: 0.007679 s=0.572 | Time: 187.4s
Epoch  70/200 | Train Loss: 1.1313 | Valid Acc: 68.26% | Test Acc: 68.64% | LR: 0.007340 s=0.604 | Time: 189.4s
Epoch  75/200 | Train Loss: 1.1097 | Valid Acc: 67.54% | Test Acc: 68.64% | LR: 0.006986 s=0.635 | Time: 187.6s
Epoch  80/200 | Train Loss: 1.0782 | Valid Acc: 67.84% | Test Acc: 68.93% | LR: 0.006620 s=0.664 | Time: 189.8s
Epoch  85/200 | Train Loss: 1.0538 | Valid Acc: 69.12% | Test Acc: 68.93% | LR: 0.006244 s=0.691 | Time: 187.6s
Epoch  90/200 | Train Loss: 1.0280 | Valid Acc: 69.12% | Test Acc: 69.63% | LR: 0.005860 s=0.716 | Time: 189.4s
Epoch  95/200 | Train Loss: 1.0096 | Valid Acc: 69.62% | Test Acc: 69.63% | LR: 0.005471 s=0.740 | Time: 187.5s
Epoch 100/200 | Train Loss: 0.9922 | Valid Acc: 70.96% | Test Acc: 71.00% | LR: 0.005079 s=0.762 | Time: 189.5s
Results saved to ./results/v13_round2/cifar100_resnet18_LAKTJU_seed123_20260323_004752.json
Epoch 105/200 | Train Loss: 0.9753 | Valid Acc: 69.76% | Test Acc: 71.00% | LR: 0.004687 s=0.782 | Time: 187.6s
Epoch 110/200 | Train Loss: 0.9610 | Valid Acc: 71.18% | Test Acc: 71.37% | LR: 0.004296 s=0.800 | Time: 189.4s
Epoch 115/200 | Train Loss: 0.9426 | Valid Acc: 70.24% | Test Acc: 71.37% | LR: 0.003910 s=0.818 | Time: 187.6s
Epoch 120/200 | Train Loss: 0.9294 | Valid Acc: 71.58% | Test Acc: 71.90% | LR: 0.003530 s=0.834 | Time: 189.4s
Epoch 125/200 | Train Loss: 0.9151 | Valid Acc: 72.04% | Test Acc: 71.90% | LR: 0.003160 s=0.848 | Time: 187.4s
Epoch 130/200 | Train Loss: 0.9067 | Valid Acc: 72.14% | Test Acc: 72.60% | LR: 0.002801 s=0.862 | Time: 189.8s
Epoch 135/200 | Train Loss: 0.8942 | Valid Acc: 72.60% | Test Acc: 72.60% | LR: 0.002456 s=0.874 | Time: 187.5s
Epoch 140/200 | Train Loss: 0.8845 | Valid Acc: 73.12% | Test Acc: 73.27% | LR: 0.002126 s=0.885 | Time: 189.7s
Epoch 145/200 | Train Loss: 0.8787 | Valid Acc: 72.90% | Test Acc: 73.27% | LR: 0.001814 s=0.896 | Time: 187.5s
Epoch 150/200 | Train Loss: 0.8690 | Valid Acc: 73.58% | Test Acc: 73.52% | LR: 0.001521 s=0.905 | Time: 189.3s
Results saved to ./results/v13_round2/cifar100_resnet18_LAKTJU_seed123_20260323_004752.json
Epoch 155/200 | Train Loss: 0.8629 | Valid Acc: 73.46% | Test Acc: 73.52% | LR: 0.001250 s=0.914 | Time: 187.7s
Epoch 160/200 | Train Loss: 0.8582 | Valid Acc: 73.82% | Test Acc: 74.20% | LR: 0.001002 s=0.922 | Time: 189.5s
Epoch 165/200 | Train Loss: 0.8514 | Valid Acc: 74.38% | Test Acc: 74.20% | LR: 0.000779 s=0.929 | Time: 187.4s
