Device: cuda
Dataset: cifar10 (10 classes)
Model: resnet18 (11,173,962 params)
Optimizer: LAKTJU

============================================================
Starting training: cifar10_resnet18_LAKTJU_seed42
============================================================

<sys>:0: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
Epoch   1/200 | Train Loss: 1.8772 | Valid Acc: 60.78% | Test Acc: 0.00% | LR: 0.010000 s=0.010 | Time: 176.8s
Epoch   5/200 | Train Loss: 1.1568 | Valid Acc: 76.92% | Test Acc: 0.00% | LR: 0.009990 s=0.050 | Time: 187.6s
Epoch  10/200 | Train Loss: 1.0248 | Valid Acc: 82.68% | Test Acc: 82.25% | LR: 0.009950 s=0.100 | Time: 189.6s
Epoch  15/200 | Train Loss: 0.9906 | Valid Acc: 86.36% | Test Acc: 82.25% | LR: 0.009880 s=0.149 | Time: 187.8s
Epoch  20/200 | Train Loss: 0.9502 | Valid Acc: 87.80% | Test Acc: 87.97% | LR: 0.009779 s=0.197 | Time: 189.5s
Epoch  25/200 | Train Loss: 1.2262 | Valid Acc: 79.38% | Test Acc: 87.97% | LR: 0.009649 s=0.245 | Time: 187.6s
Epoch  30/200 | Train Loss: 1.2961 | Valid Acc: 83.20% | Test Acc: 82.85% | LR: 0.009490 s=0.291 | Time: 189.4s
Epoch  35/200 | Train Loss: 1.2750 | Valid Acc: 84.96% | Test Acc: 82.85% | LR: 0.009304 s=0.336 | Time: 187.2s
Epoch  40/200 | Train Loss: 2.0770 | Valid Acc: 57.60% | Test Acc: 58.33% | LR: 0.009091 s=0.380 | Time: 189.2s
Epoch  45/200 | Train Loss: 1.5420 | Valid Acc: 79.76% | Test Acc: 58.33% | LR: 0.008853 s=0.422 | Time: 187.3s
Epoch  50/200 | Train Loss: 1.4908 | Valid Acc: 83.14% | Test Acc: 82.83% | LR: 0.008591 s=0.462 | Time: 189.3s
