Device: cuda
Dataset: cifar100 (100 classes)
Model: resnet18 (11,220,132 params)
Optimizer: LAKTJU

============================================================
Starting training: cifar100_resnet18_LAKTJU_seed42
============================================================

<sys>:0: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
Epoch   1/200 | Train Loss: 3.9965 | Valid Acc: 20.20% | Test Acc: 0.00% | LR: 0.010000 s=0.010 | Time: 188.2s
Epoch   5/200 | Train Loss: 2.5766 | Valid Acc: 51.78% | Test Acc: 0.00% | LR: 0.009990 s=0.050 | Time: 198.5s
Epoch  10/200 | Train Loss: 2.0797 | Valid Acc: 60.92% | Test Acc: 61.01% | LR: 0.009950 s=0.100 | Time: 200.8s
Epoch  15/200 | Train Loss: 1.8364 | Valid Acc: 65.00% | Test Acc: 61.01% | LR: 0.009880 s=0.149 | Time: 198.4s
Epoch  20/200 | Train Loss: 1.6767 | Valid Acc: 67.30% | Test Acc: 66.39% | LR: 0.009779 s=0.197 | Time: 200.0s
Epoch  25/200 | Train Loss: 1.5618 | Valid Acc: 66.62% | Test Acc: 66.39% | LR: 0.009649 s=0.245 | Time: 197.9s
Epoch  30/200 | Train Loss: 1.4782 | Valid Acc: 66.42% | Test Acc: 67.20% | LR: 0.009490 s=0.291 | Time: 200.0s
Epoch  35/200 | Train Loss: 1.4303 | Valid Acc: 65.88% | Test Acc: 67.20% | LR: 0.009304 s=0.336 | Time: 197.8s
Epoch  40/200 | Train Loss: 1.3591 | Valid Acc: 67.32% | Test Acc: 67.92% | LR: 0.009091 s=0.380 | Time: 199.8s
Epoch  45/200 | Train Loss: 1.2944 | Valid Acc: 67.60% | Test Acc: 67.92% | LR: 0.008853 s=0.422 | Time: 198.1s
Epoch  50/200 | Train Loss: 1.2423 | Valid Acc: 68.68% | Test Acc: 68.91% | LR: 0.008591 s=0.462 | Time: 199.9s
Results saved to ./results/v13_round2/cifar100_resnet18_LAKTJU_seed42_20260323_004752.json
Epoch  55/200 | Train Loss: 1.2020 | Valid Acc: 69.14% | Test Acc: 68.91% | LR: 0.008307 s=0.501 | Time: 198.1s
Epoch  60/200 | Train Loss: 1.1574 | Valid Acc: 69.84% | Test Acc: 69.43% | LR: 0.008002 s=0.537 | Time: 199.8s
Epoch  65/200 | Train Loss: 1.1285 | Valid Acc: 69.58% | Test Acc: 69.43% | LR: 0.007679 s=0.572 | Time: 198.0s
Epoch  70/200 | Train Loss: 1.1003 | Valid Acc: 69.66% | Test Acc: 70.08% | LR: 0.007340 s=0.604 | Time: 199.9s
Epoch  75/200 | Train Loss: 1.0781 | Valid Acc: 70.14% | Test Acc: 70.08% | LR: 0.006986 s=0.635 | Time: 197.8s
Epoch  80/200 | Train Loss: 1.0557 | Valid Acc: 70.12% | Test Acc: 70.03% | LR: 0.006620 s=0.664 | Time: 199.9s
Epoch  85/200 | Train Loss: 1.0325 | Valid Acc: 70.84% | Test Acc: 70.03% | LR: 0.006244 s=0.691 | Time: 198.1s
Epoch  90/200 | Train Loss: 1.0077 | Valid Acc: 71.58% | Test Acc: 70.83% | LR: 0.005860 s=0.716 | Time: 199.9s
Epoch  95/200 | Train Loss: 0.9926 | Valid Acc: 71.90% | Test Acc: 70.83% | LR: 0.005471 s=0.740 | Time: 198.7s
Epoch 100/200 | Train Loss: 0.9734 | Valid Acc: 72.22% | Test Acc: 71.20% | LR: 0.005079 s=0.762 | Time: 199.9s
Results saved to ./results/v13_round2/cifar100_resnet18_LAKTJU_seed42_20260323_004752.json
Epoch 105/200 | Train Loss: 0.9609 | Valid Acc: 71.88% | Test Acc: 71.20% | LR: 0.004687 s=0.782 | Time: 198.6s
Epoch 110/200 | Train Loss: 0.9437 | Valid Acc: 72.00% | Test Acc: 71.89% | LR: 0.004296 s=0.800 | Time: 199.9s
Epoch 115/200 | Train Loss: 0.9341 | Valid Acc: 73.04% | Test Acc: 71.89% | LR: 0.003910 s=0.818 | Time: 197.8s
Epoch 120/200 | Train Loss: 0.9200 | Valid Acc: 72.96% | Test Acc: 72.13% | LR: 0.003530 s=0.834 | Time: 200.1s
Epoch 125/200 | Train Loss: 0.9096 | Valid Acc: 72.90% | Test Acc: 72.13% | LR: 0.003160 s=0.848 | Time: 198.2s
Epoch 130/200 | Train Loss: 0.9007 | Valid Acc: 73.06% | Test Acc: 72.84% | LR: 0.002801 s=0.862 | Time: 200.0s
Epoch 135/200 | Train Loss: 0.8895 | Valid Acc: 73.04% | Test Acc: 72.84% | LR: 0.002456 s=0.874 | Time: 198.2s
Epoch 140/200 | Train Loss: 0.8812 | Valid Acc: 73.96% | Test Acc: 73.01% | LR: 0.002126 s=0.885 | Time: 200.0s
Epoch 145/200 | Train Loss: 0.8757 | Valid Acc: 73.96% | Test Acc: 73.01% | LR: 0.001814 s=0.896 | Time: 198.1s
Epoch 150/200 | Train Loss: 0.8680 | Valid Acc: 74.36% | Test Acc: 73.68% | LR: 0.001521 s=0.905 | Time: 200.0s
Results saved to ./results/v13_round2/cifar100_resnet18_LAKTJU_seed42_20260323_004752.json
Epoch 155/200 | Train Loss: 0.8630 | Valid Acc: 73.92% | Test Acc: 73.68% | LR: 0.001250 s=0.914 | Time: 198.1s
