Device: cuda
Dataset: cifar100 (100 classes)
Model: resnet18 (11,220,132 params)
Optimizer: LAKTJU

============================================================
Starting training: cifar100_resnet18_LAKTJU_seed456
============================================================

<sys>:0: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
Epoch   1/200 | Train Loss: 4.0030 | Valid Acc: 19.70% | Test Acc: 0.00% | LR: 0.010000 s=0.010 | Time: 177.2s
Epoch   5/200 | Train Loss: 2.6018 | Valid Acc: 49.06% | Test Acc: 0.00% | LR: 0.009990 s=0.050 | Time: 187.6s
Epoch  10/200 | Train Loss: 2.1206 | Valid Acc: 60.30% | Test Acc: 60.33% | LR: 0.009950 s=0.100 | Time: 189.7s
Epoch  15/200 | Train Loss: 1.8804 | Valid Acc: 62.66% | Test Acc: 60.33% | LR: 0.009880 s=0.149 | Time: 187.7s
Epoch  20/200 | Train Loss: 1.7092 | Valid Acc: 63.82% | Test Acc: 64.22% | LR: 0.009779 s=0.197 | Time: 189.4s
Epoch  25/200 | Train Loss: 1.5846 | Valid Acc: 64.56% | Test Acc: 64.22% | LR: 0.009649 s=0.245 | Time: 187.6s
Epoch  30/200 | Train Loss: 1.5105 | Valid Acc: 65.48% | Test Acc: 66.55% | LR: 0.009490 s=0.291 | Time: 189.7s
Epoch  35/200 | Train Loss: 1.4232 | Valid Acc: 65.80% | Test Acc: 66.55% | LR: 0.009304 s=0.336 | Time: 187.4s
Epoch  40/200 | Train Loss: 1.3519 | Valid Acc: 65.82% | Test Acc: 66.55% | LR: 0.009091 s=0.380 | Time: 189.5s
Epoch  45/200 | Train Loss: 1.2862 | Valid Acc: 65.60% | Test Acc: 66.55% | LR: 0.008853 s=0.422 | Time: 187.4s
Epoch  50/200 | Train Loss: 1.2328 | Valid Acc: 66.56% | Test Acc: 67.88% | LR: 0.008591 s=0.462 | Time: 189.5s
Results saved to ./results/v13_round2/cifar100_resnet18_LAKTJU_seed456_20260323_004751.json
Epoch  55/200 | Train Loss: 1.1953 | Valid Acc: 67.72% | Test Acc: 67.88% | LR: 0.008307 s=0.501 | Time: 187.7s
Epoch  60/200 | Train Loss: 1.1579 | Valid Acc: 67.88% | Test Acc: 68.88% | LR: 0.008002 s=0.537 | Time: 189.6s
Epoch  65/200 | Train Loss: 1.1242 | Valid Acc: 68.88% | Test Acc: 68.88% | LR: 0.007679 s=0.572 | Time: 187.3s
Epoch  70/200 | Train Loss: 1.0972 | Valid Acc: 67.88% | Test Acc: 69.44% | LR: 0.007340 s=0.604 | Time: 189.5s
Epoch  75/200 | Train Loss: 1.0724 | Valid Acc: 68.12% | Test Acc: 69.44% | LR: 0.006986 s=0.635 | Time: 187.4s
Epoch  80/200 | Train Loss: 1.0498 | Valid Acc: 69.34% | Test Acc: 69.95% | LR: 0.006620 s=0.664 | Time: 189.3s
Epoch  85/200 | Train Loss: 1.0261 | Valid Acc: 68.98% | Test Acc: 69.95% | LR: 0.006244 s=0.691 | Time: 187.6s
Epoch  90/200 | Train Loss: 1.0017 | Valid Acc: 69.42% | Test Acc: 69.86% | LR: 0.005860 s=0.716 | Time: 189.5s
Epoch  95/200 | Train Loss: 0.9908 | Valid Acc: 70.80% | Test Acc: 69.86% | LR: 0.005471 s=0.740 | Time: 187.6s
Epoch 100/200 | Train Loss: 0.9698 | Valid Acc: 70.80% | Test Acc: 71.09% | LR: 0.005079 s=0.762 | Time: 189.3s
Results saved to ./results/v13_round2/cifar100_resnet18_LAKTJU_seed456_20260323_004751.json
Epoch 105/200 | Train Loss: 0.9569 | Valid Acc: 71.24% | Test Acc: 71.09% | LR: 0.004687 s=0.782 | Time: 187.7s
Epoch 110/200 | Train Loss: 0.9435 | Valid Acc: 70.94% | Test Acc: 72.32% | LR: 0.004296 s=0.800 | Time: 189.4s
Epoch 115/200 | Train Loss: 0.9298 | Valid Acc: 71.14% | Test Acc: 72.32% | LR: 0.003910 s=0.818 | Time: 187.2s
Epoch 120/200 | Train Loss: 0.9151 | Valid Acc: 71.60% | Test Acc: 72.36% | LR: 0.003530 s=0.834 | Time: 189.4s
Epoch 125/200 | Train Loss: 0.9051 | Valid Acc: 71.92% | Test Acc: 72.36% | LR: 0.003160 s=0.848 | Time: 187.6s
Epoch 130/200 | Train Loss: 0.8939 | Valid Acc: 72.60% | Test Acc: 73.00% | LR: 0.002801 s=0.862 | Time: 189.5s
Epoch 135/200 | Train Loss: 0.8822 | Valid Acc: 72.60% | Test Acc: 73.00% | LR: 0.002456 s=0.874 | Time: 187.4s
Epoch 140/200 | Train Loss: 0.8783 | Valid Acc: 73.02% | Test Acc: 72.93% | LR: 0.002126 s=0.885 | Time: 189.6s
Epoch 145/200 | Train Loss: 0.8684 | Valid Acc: 73.28% | Test Acc: 72.93% | LR: 0.001814 s=0.896 | Time: 187.4s
Epoch 150/200 | Train Loss: 0.8620 | Valid Acc: 73.30% | Test Acc: 73.59% | LR: 0.001521 s=0.905 | Time: 189.6s
Results saved to ./results/v13_round2/cifar100_resnet18_LAKTJU_seed456_20260323_004751.json
Epoch 155/200 | Train Loss: 0.8565 | Valid Acc: 72.88% | Test Acc: 73.59% | LR: 0.001250 s=0.914 | Time: 187.7s
Epoch 160/200 | Train Loss: 0.8503 | Valid Acc: 73.40% | Test Acc: 74.08% | LR: 0.001002 s=0.922 | Time: 189.5s
Epoch 165/200 | Train Loss: 0.8461 | Valid Acc: 73.76% | Test Acc: 74.08% | LR: 0.000779 s=0.929 | Time: 187.6s
