Device: cuda
Dataset: cifar10 (10 classes)
Model: resnet18 (11,173,962 params)
Optimizer: LAKTJU

============================================================
Starting training: cifar10_resnet18_LAKTJU_seed123
============================================================

<sys>:0: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
Epoch   1/200 | Train Loss: 1.7413 | Valid Acc: 59.30% | Test Acc: 0.00% | LR: 0.010000 s=0.010 | Time: 188.1s
Epoch   5/200 | Train Loss: 1.1580 | Valid Acc: 79.74% | Test Acc: 0.00% | LR: 0.009990 s=0.050 | Time: 198.5s
Epoch  10/200 | Train Loss: 1.1600 | Valid Acc: 81.74% | Test Acc: 81.97% | LR: 0.009950 s=0.100 | Time: 200.4s
Epoch  15/200 | Train Loss: 1.6416 | Valid Acc: 75.40% | Test Acc: 81.97% | LR: 0.009880 s=0.149 | Time: 198.4s
Epoch  20/200 | Train Loss: 2.3264 | Valid Acc: 53.20% | Test Acc: 54.00% | LR: 0.009779 s=0.197 | Time: 199.7s
Epoch  25/200 | Train Loss: 1.7381 | Valid Acc: 69.94% | Test Acc: 54.00% | LR: 0.009649 s=0.245 | Time: 197.9s
Epoch  30/200 | Train Loss: 1.8291 | Valid Acc: 73.84% | Test Acc: 74.97% | LR: 0.009490 s=0.291 | Time: 200.1s
Epoch  35/200 | Train Loss: 1.8684 | Valid Acc: 74.44% | Test Acc: 74.97% | LR: 0.009304 s=0.336 | Time: 198.0s
Epoch  40/200 | Train Loss: 1.8522 | Valid Acc: 76.44% | Test Acc: 77.20% | LR: 0.009091 s=0.380 | Time: 199.6s
Epoch  45/200 | Train Loss: 1.7803 | Valid Acc: 78.08% | Test Acc: 77.20% | LR: 0.008853 s=0.422 | Time: 198.1s
Epoch  50/200 | Train Loss: 1.8691 | Valid Acc: 77.74% | Test Acc: 78.26% | LR: 0.008591 s=0.462 | Time: 199.6s
Results saved to ./results/v13_round2/cifar10_resnet18_LAKTJU_seed123_20260323_004752.json
Epoch  55/200 | Train Loss: 1.8928 | Valid Acc: 79.06% | Test Acc: 78.26% | LR: 0.008307 s=0.501 | Time: 197.7s
Epoch  60/200 | Train Loss: 1.7484 | Valid Acc: 77.96% | Test Acc: 78.60% | LR: 0.008002 s=0.537 | Time: 199.7s
Epoch  65/200 | Train Loss: 1.7914 | Valid Acc: 80.04% | Test Acc: 78.60% | LR: 0.007679 s=0.572 | Time: 198.1s
Epoch  70/200 | Train Loss: 1.7506 | Valid Acc: 79.08% | Test Acc: 79.78% | LR: 0.007340 s=0.604 | Time: 199.7s
Epoch  75/200 | Train Loss: 2.1344 | Valid Acc: 72.50% | Test Acc: 79.78% | LR: 0.006986 s=0.635 | Time: 197.9s
Epoch  80/200 | Train Loss: 1.7387 | Valid Acc: 79.72% | Test Acc: 79.71% | LR: 0.006620 s=0.664 | Time: 199.6s
Epoch  85/200 | Train Loss: 1.7471 | Valid Acc: 80.18% | Test Acc: 79.71% | LR: 0.006244 s=0.691 | Time: 198.0s
Epoch  90/200 | Train Loss: 1.8178 | Valid Acc: 81.60% | Test Acc: 81.33% | LR: 0.005860 s=0.716 | Time: 199.7s
Epoch  95/200 | Train Loss: 1.7431 | Valid Acc: 81.36% | Test Acc: 81.33% | LR: 0.005471 s=0.740 | Time: 198.6s
Epoch 100/200 | Train Loss: 1.6787 | Valid Acc: 81.56% | Test Acc: 81.86% | LR: 0.005079 s=0.762 | Time: 199.8s
Results saved to ./results/v13_round2/cifar10_resnet18_LAKTJU_seed123_20260323_004752.json
Epoch 105/200 | Train Loss: 1.4980 | Valid Acc: 83.62% | Test Acc: 81.86% | LR: 0.004687 s=0.782 | Time: 198.4s
Epoch 110/200 | Train Loss: 1.5634 | Valid Acc: 83.18% | Test Acc: 83.77% | LR: 0.004296 s=0.800 | Time: 200.0s
Epoch 115/200 | Train Loss: 1.5282 | Valid Acc: 83.84% | Test Acc: 83.77% | LR: 0.003910 s=0.818 | Time: 198.1s
Epoch 120/200 | Train Loss: 1.3479 | Valid Acc: 83.74% | Test Acc: 84.79% | LR: 0.003530 s=0.834 | Time: 199.9s
Epoch 125/200 | Train Loss: 1.3102 | Valid Acc: 84.98% | Test Acc: 84.79% | LR: 0.003160 s=0.848 | Time: 198.1s
Epoch 130/200 | Train Loss: 1.2410 | Valid Acc: 85.42% | Test Acc: 85.75% | LR: 0.002801 s=0.862 | Time: 200.0s
Epoch 135/200 | Train Loss: 1.2157 | Valid Acc: 85.72% | Test Acc: 85.75% | LR: 0.002456 s=0.874 | Time: 198.1s
Epoch 140/200 | Train Loss: 1.1805 | Valid Acc: 86.24% | Test Acc: 86.36% | LR: 0.002126 s=0.885 | Time: 199.9s
Epoch 145/200 | Train Loss: 1.1135 | Valid Acc: 86.72% | Test Acc: 86.36% | LR: 0.001814 s=0.896 | Time: 198.2s
Epoch 150/200 | Train Loss: 1.0801 | Valid Acc: 87.12% | Test Acc: 87.00% | LR: 0.001521 s=0.905 | Time: 199.8s
Results saved to ./results/v13_round2/cifar10_resnet18_LAKTJU_seed123_20260323_004752.json
Epoch 155/200 | Train Loss: 1.0142 | Valid Acc: 87.16% | Test Acc: 87.00% | LR: 0.001250 s=0.914 | Time: 198.3s
